20,0.01,0.1,0.01069,0.00119,0.02734,0.07771,528.5962526798248
20,0.01,0.5,0.01262,0.0013,0.03518,0.09181,437.6215305328369
20,0.01,1,0.0131,0.00135,0.03816,0.09753,608.1733357906342
20,0.01,3,0.01412,0.00147,0.04239,0.10665,519.8446264266968
20,0.01,5,0.01456,0.00152,0.04438,0.1109,596.8799111843109
20,0.01,10,0.01488,0.00159,0.04609,0.11516,561.4982812404633
20,0.1,0.1,0.01208,0.00131,0.0331,0.08845,613.0458378791809
20,0.1,0.5,0.01311,0.00132,0.03698,0.09463,681.6579346656799
20,0.1,1,0.01323,0.00137,0.03922,0.09898,606.8741447925568
20,0.1,3,0.01397,0.00147,0.04307,0.10703,696.1917304992676
20,0.1,5,0.01443,0.00152,0.04392,0.11023,562.5873327255249
20,0.1,10,0.015,0.00159,0.0456,0.11465,613.6030602455139
20,0.2,0.1,0.01172,0.00137,0.03415,0.0916,567.648904800415
20,0.2,0.5,0.01292,0.00134,0.03776,0.09619,568.8559174537659
20,0.2,1,0.01323,0.00138,0.03943,0.09961,602.4416391849518
20,0.2,3,0.01395,0.00147,0.04295,0.10726,579.1621944904327
30,0.5,0.1,0.00801,0.00124,0.02637,0.07855,483.4307119846344
30,0.5,0.5,0.01294,0.00142,0.03796,0.10018,676.1207005977631
30,0.5,1,0.01422,0.00147,0.04291,0.10715,669.1777591705322
30,0.5,3,0.01585,0.00158,0.04678,0.11558,720.1199474334717
30,0.5,5,0.01621,0.00163,0.04887,0.11991,787.8445630073547
